2020/05/21 15:38:48 customer_id=10000033 running_id=2666706 kind=026 resultStatus=0
2020/05/21 15:38:48 customer_id=10000033 running_id=2666706 kind=283 resultStatus=0
2020/05/21 15:42:05 customer_id=10000038 running_id=2666741 kind=026 resultStatus=0
2020/05/21 15:42:05 customer_id=10000038 running_id=2666741 kind=283 resultStatus=0
2020/05/21 15:42:13 customer_id=10000013 running_id=2666600 kind=026 resultStatus=0
2020/05/21 15:42:13 customer_id=10000013 running_id=2666600 kind=283 resultStatus=0
2020/05/21 15:49:05 customer_id=10000040 running_id=2666751 kind=026 resultStatus=0
2020/05/21 15:49:06 customer_id=10000040 running_id=2666751 kind=283 resultStatus=0
2020/05/21 16:01:37 customer_id=10000041 running_id=2666783 kind=116 resultStatus=0
2020/05/21 16:01:37 customer_id=10000041 running_id=2666783 kind=283 resultStatus=0
2020/05/21 16:02:17 customer_id=10000041 running_id=2666776 kind=026 resultStatus=0
2020/05/21 16:02:17 customer_id=10000041 running_id=2666776 kind=283 resultStatus=0
2020/05/21 16:19:10 customer_id=10000043 running_id=2666791 kind=026 resultStatus=0
2020/05/21 16:19:10 customer_id=10000043 running_id=2666791 kind=283 resultStatus=0
2020/05/21 16:23:57 customer_id=10000044 running_id=2666818 kind=026 resultStatus=0
2020/05/21 16:23:57 customer_id=10000044 running_id=2666818 kind=283 resultStatus=0
2020/05/21 16:42:00 customer_id=10000039 running_id=2666746 kind=026 resultStatus=0
2020/05/21 16:42:00 customer_id=10000039 running_id=2666746 kind=283 resultStatus=0
2020/05/21 17:00:53 customer_id=10000045 running_id=2666848 kind=026 resultStatus=0
2020/05/21 17:00:53 customer_id=10000045 running_id=2666848 kind=283 resultStatus=0
2020/05/21 17:05:46 customer_id=10000046 running_id=2666858 kind=026 resultStatus=0
2020/05/21 17:05:46 customer_id=10000046 running_id=2666858 kind=283 resultStatus=0
2020/05/21 18:08:15 customer_id=10000049 running_id=2666902 kind=026 resultStatus=0
2020/05/21 18:08:15 customer_id=10000049 running_id=2666902 kind=283 resultStatus=0
2020/05/21 18:50:44 customer_id=10000050 running_id=2666908 kind=026 resultStatus=0
2020/05/21 18:50:44 customer_id=10000050 running_id=2666908 kind=283 resultStatus=0
2020/05/21 18:59:49 customer_id=10000053 running_id=2666955 kind=026 resultStatus=0
2020/05/21 18:59:49 customer_id=10000053 running_id=2666955 kind=283 resultStatus=0
2020/05/22 11:07:49 customer_id=10000056 running_id=2667219 kind=026 resultStatus=0
2020/05/22 11:07:49 customer_id=10000056 running_id=2667219 kind=283 resultStatus=0
2020/05/22 13:12:24 customer_id=10000063 running_id=2667297 kind=026 resultStatus=0
2020/05/22 13:12:24 customer_id=10000063 running_id=2667297 kind=283 resultStatus=0
2020/05/22 13:16:26 customer_id=10000064 running_id=2667310 kind=026 resultStatus=0
2020/05/22 13:16:26 customer_id=10000064 running_id=2667310 kind=283 resultStatus=0
2020/05/22 13:37:06 customer_id=10000012 running_id=2667263 kind=026 resultStatus=0
2020/05/22 13:37:06 customer_id=10000012 running_id=2667263 kind=283 resultStatus=0
2020/05/22 14:43:36 customer_id=10000068 running_id=2667341 kind=026 resultStatus=0
2020/05/22 14:43:36 customer_id=10000068 running_id=2667341 kind=283 resultStatus=0
2020/05/22 15:02:57 customer_id=10000057 running_id=2667232 kind=026 resultStatus=0
2020/05/22 15:02:57 customer_id=10000057 running_id=2667232 kind=283 resultStatus=0
2020/05/22 15:07:27 customer_id=10000065 running_id=2667322 kind=026 resultStatus=0
2020/05/22 15:07:27 customer_id=10000065 running_id=2667322 kind=283 resultStatus=0
2020/05/22 15:28:13 customer_id=10000071 running_id=2667357 kind=026 resultStatus=0
2020/05/22 15:28:13 customer_id=10000071 running_id=2667357 kind=283 resultStatus=0
2020/05/22 17:37:38 customer_id=10000066 running_id=2667330 kind=026 resultStatus=0
2020/05/22 17:37:38 customer_id=10000066 running_id=2667330 kind=283 resultStatus=0
2020/05/22 19:12:08 customer_id=10000077 running_id=2667537 kind=026 resultStatus=0
2020/05/22 19:12:08 customer_id=10000077 running_id=2667537 kind=283 resultStatus=0
2020/05/22 19:18:57 customer_id=10000078 running_id=2667540 kind=026 resultStatus=0
2020/05/22 19:18:57 customer_id=10000078 running_id=2667540 kind=283 resultStatus=0
2020/05/22 22:17:56 customer_id=10000001 running_id= kind=026 resultStatus=0
2020/05/22 22:17:56 customer_id=10000001 running_id= kind=283 resultStatus=1
2020/05/22 22:17:56 customer_id=10000001 running_id=2664718 kind=283 resultStatus=1
2020/05/22 22:53:33 customer_id=10000080 running_id=2667594 kind=026 resultStatus=0
2020/05/22 22:53:33 customer_id=10000080 running_id=2667594 kind=283 resultStatus=0
2020/05/22 23:04:27 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/22 23:04:44 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/22 23:06:22 customer_id=10000037 running_id=2666733 kind=026 resultStatus=0
2020/05/22 23:06:22 customer_id=10000037 running_id=2666733 kind=283 resultStatus=0
2020/05/22 23:38:14 customer_id=10000081 running_id=2667605 kind=026 resultStatus=0
2020/05/22 23:38:14 customer_id=10000081 running_id=2667605 kind=283 resultStatus=0
2020/05/22 23:48:06 customer_id=10000082 running_id=2667610 kind=026 resultStatus=0
2020/05/22 23:48:06 customer_id=10000082 running_id=2667610 kind=283 resultStatus=0
2020/05/25 11:54:35 customer_id=10000011 running_id=2666365 kind=026 resultStatus=0
2020/05/25 11:54:35 customer_id=10000011 running_id=2666365 kind=283 resultStatus=0
2020/05/25 11:54:35 customer_id=10000011 running_id=2666376 kind=283 resultStatus=0
2020/05/25 12:12:18 customer_id=10000052 running_id=2667027 kind=026 resultStatus=0
2020/05/25 12:12:18 customer_id=10000052 running_id=2667027 kind=283 resultStatus=0
2020/05/25 13:22:37 customer_id=10000058 running_id=2667234 kind=026 resultStatus=0
2020/05/25 13:22:37 customer_id=10000058 running_id=2667234 kind=283 resultStatus=0
2020/05/25 13:22:37 customer_id=10000058 running_id=2667244 kind=283 resultStatus=0
2020/05/25 13:37:14 customer_id=10000006 running_id=2666366 kind=026 resultStatus=0
2020/05/25 13:37:14 customer_id=10000006 running_id=2666366 kind=283 resultStatus=0
2020/05/25 13:37:15 customer_id=10000006 running_id=2666500 kind=283 resultStatus=0
2020/05/25 13:56:49 customer_id=10000098 running_id=2669204 kind=116 resultStatus=0
2020/05/25 13:56:49 customer_id=10000098 running_id=2669204 kind=283 resultStatus=0
